iter	Passed	Remaining
0	14	14449
1	34	17110
2	46	15556
3	64	15979
4	68	13703
5	85	14221
6	103	14661
7	120	14893
8	138	15247
9	143	14194
10	159	14323
11	179	14748
12	198	15038
13	204	14429
14	222	14579
15	243	14946
16	261	15115
17	280	15323
18	301	15580
19	308	15105
20	325	15172
21	345	15337
22	364	15491
23	384	15619
24	390	15225
25	407	15255
26	425	15338
27	443	15382
28	459	15374
29	477	15438
30	495	15479
31	513	15526
32	531	15570
33	550	15639
34	564	15572
35	583	15623
36	600	15636
37	617	15642
38	636	15671
39	654	15707
40	674	15781
41	694	15835
42	714	15904
43	733	15946
44	751	15953
45	769	15958
46	789	15998
47	806	16003
48	825	16030
49	845	16062
50	862	16057
51	880	16056
52	898	16047
53	915	16030
54	933	16037
55	952	16054
56	973	16106
57	992	16113
58	1010	16115
59	1030	16146
60	1049	16155
61	1067	16150
62	1072	15948
63	1091	15960
64	1111	15984
65	1131	16005
66	1148	15986
67	1166	15989
68	1184	15979
69	1201	15967
70	1222	15995
71	1226	15814
72	1230	15625
73	1233	15435
74	1251	15433
75	1272	15469
76	1293	15506
77	1311	15497
78	1316	15343
79	1318	15161
80	1334	15140
81	1339	15000
82	1343	14847
83	1358	14814
84	1377	14824
85	1396	14837
86	1416	14865
87	1437	14901
88	1457	14923
89	1477	14941
90	1497	14958
91	1516	14967
92	1535	14973
93	1540	14845
94	1559	14855
95	1581	14889
96	1601	14908
97	1621	14927
98	1642	14948
99	1663	14973
100	1683	14985
101	1701	14982
102	1707	14868
103	1722	14842
104	1740	14833
105	1759	14835
106	1777	14837
107	1782	14721
108	1785	14592
109	1790	14489
110	1805	14463
111	1811	14365
112	1815	14249
113	1818	14131
114	1835	14126
115	1856	14151
116	1878	14177
117	1900	14208
118	1914	14176
119	1935	14190
120	1954	14199
121	1975	14220
122	1982	14138
123	1985	14026
124	2005	14037
125	2011	13951
126	2029	13950
127	2034	13863
128	2051	13848
129	2073	13878
130	2094	13896
131	2117	13926
132	2140	13951
133	2150	13896
134	2157	13822
135	2161	13734
136	2181	13742
137	2204	13767
138	2224	13781
139	2244	13790
140	2265	13803
141	2287	13819
142	2310	13845
143	2315	13762
144	2335	13771
145	2340	13691
146	2360	13695
147	2380	13705
148	2403	13728
149	2428	13760
150	2453	13792
151	2475	13809
152	2481	13735
153	2497	13717
154	2513	13700
155	2533	13704
156	2537	13625
157	2544	13562
158	2562	13555
159	2581	13552
160	2599	13546
161	2620	13557
162	2642	13567
163	2656	13540
164	2664	13486
165	2685	13493
166	2706	13499
167	2727	13509
168	2747	13511
169	2767	13512
170	2790	13529
171	2812	13541
172	2833	13542
173	2840	13484
174	2858	13473
175	2877	13473
176	2895	13464
177	2904	13411
178	2920	13394
179	2942	13406
180	2962	13405
181	2981	13401
182	3001	13399
183	3019	13391
184	3039	13388
185	3044	13324
186	3060	13305
187	3079	13301
188	3097	13292
189	3114	13278
190	3133	13273
191	3154	13273
192	3174	13272
193	3196	13278
